"outcome","inst","loc","n"
"Behaviour and Social Wellbeing","College/University","Asia",1
"Behaviour and Social Wellbeing","College/University","Rest of Europe",2
"Behaviour and Social Wellbeing","College/University","UK/Ireland",2
"Behaviour and Social Wellbeing","College/University","USA/Canada",3
"Behaviour and Social Wellbeing","Middle/High School","Africa",1
"Behaviour and Social Wellbeing","Middle/High School","Asia",8
"Behaviour and Social Wellbeing","Middle/High School","Australia/New Zealand",10
"Behaviour and Social Wellbeing","Middle/High School","Central/South America",2
"Behaviour and Social Wellbeing","Middle/High School","Rest of Europe",14
"Behaviour and Social Wellbeing","Middle/High School","UK/Ireland",8
"Behaviour and Social Wellbeing","Middle/High School","USA/Canada",46
"Behaviour and Social Wellbeing","Multiple","Rest of Europe",2
"Behaviour and Social Wellbeing","Multiple","USA/Canada",8
"Behaviour and Social Wellbeing","Preschool/Kindergarten","Rest of Europe",3
"Behaviour and Social Wellbeing","Preschool/Kindergarten","USA/Canada",18
"Behaviour and Social Wellbeing","Primary/Elementary","Africa",1
"Behaviour and Social Wellbeing","Primary/Elementary","Asia",8
"Behaviour and Social Wellbeing","Primary/Elementary","Australia/New Zealand",1
"Behaviour and Social Wellbeing","Primary/Elementary","Central/South America",1
"Behaviour and Social Wellbeing","Primary/Elementary","Rest of Europe",13
"Behaviour and Social Wellbeing","Primary/Elementary","UK/Ireland",11
"Behaviour and Social Wellbeing","Primary/Elementary","USA/Canada",42
"Behaviour and Social Wellbeing","Special School","Asia",1
"Literacy/English","College/University","Australia/New Zealand",1
"Literacy/English","Middle/High School","Asia",2
"Literacy/English","Middle/High School","UK/Ireland",10
"Literacy/English","Middle/High School","USA/Canada",20
"Literacy/English","Multiple","Asia",1
"Literacy/English","Multiple","Australia/New Zealand",1
"Literacy/English","Multiple","Rest of Europe",2
"Literacy/English","Multiple","UK/Ireland",3
"Literacy/English","Multiple","USA/Canada",11
"Literacy/English","Preschool/Kindergarten","Asia",1
"Literacy/English","Preschool/Kindergarten","Australia/New Zealand",1
"Literacy/English","Preschool/Kindergarten","Rest of Europe",1
"Literacy/English","Preschool/Kindergarten","USA/Canada",24
"Literacy/English","Primary/Elementary","Africa",3
"Literacy/English","Primary/Elementary","Asia",6
"Literacy/English","Primary/Elementary","Australia/New Zealand",3
"Literacy/English","Primary/Elementary","Central/South America",1
"Literacy/English","Primary/Elementary","Rest of Europe",9
"Literacy/English","Primary/Elementary","UK/Ireland",20
"Literacy/English","Primary/Elementary","USA/Canada",80
"Literacy/English","Special School","UK/Ireland",3
"Literacy/English","Special School","USA/Canada",3
"Numeracy/Maths","College/University","UK/Ireland",2
"Numeracy/Maths","College/University","USA/Canada",4
"Numeracy/Maths","Middle/High School","Asia",1
"Numeracy/Maths","Middle/High School","Rest of Europe",2
"Numeracy/Maths","Middle/High School","UK/Ireland",1
"Numeracy/Maths","Middle/High School","USA/Canada",17
"Numeracy/Maths","Multiple","USA/Canada",4
"Numeracy/Maths","Preschool/Kindergarten","Rest of Europe",1
"Numeracy/Maths","Preschool/Kindergarten","USA/Canada",5
"Numeracy/Maths","Primary/Elementary","Asia",2
"Numeracy/Maths","Primary/Elementary","Australia/New Zealand",1
"Numeracy/Maths","Primary/Elementary","Rest of Europe",2
"Numeracy/Maths","Primary/Elementary","UK/Ireland",7
"Numeracy/Maths","Primary/Elementary","USA/Canada",19
"Numeracy/Maths","Special School","UK/Ireland",1
"Numeracy/Maths","Special School","USA/Canada",1
"Other School Subjects","College/University","Rest of Europe",4
"Other School Subjects","College/University","USA/Canada",5
"Other School Subjects","Middle/High School","Asia",4
"Other School Subjects","Middle/High School","Australia/New Zealand",1
"Other School Subjects","Middle/High School","Multiple",1
"Other School Subjects","Middle/High School","Rest of Europe",5
"Other School Subjects","Middle/High School","UK/Ireland",2
"Other School Subjects","Middle/High School","USA/Canada",14
"Other School Subjects","Multiple","USA/Canada",4
"Other School Subjects","Preschool/Kindergarten","Asia",1
"Other School Subjects","Preschool/Kindergarten","Rest of Europe",1
"Other School Subjects","Preschool/Kindergarten","USA/Canada",2
"Other School Subjects","Primary/Elementary","Australia/New Zealand",1
"Other School Subjects","Primary/Elementary","Rest of Europe",2
"Other School Subjects","Primary/Elementary","UK/Ireland",1
"Other School Subjects","Primary/Elementary","USA/Canada",14
"physical Health and Wellbeing","Middle/High School","Rest of Europe",1
"Physical Health and Wellbeing","College/University","Africa",1
"Physical Health and Wellbeing","College/University","Rest of Europe",1
